,name,stantionId,lineId
1,Бульвар Рокоссовского,1,1
2,Черкизовская,2,1
3,Преображенская площадь,3,1
4,Сокольники,4,1
5,Красносельская,5,1
6,Комсомольская,6,1
7,Красные Ворота,7,1
8,Чистые пруды,8,1
9,Лубянка,9,1
10,Охотный Ряд,10,1
11,Библиотека имени Ленина,11,1
12,Кропоткинская,12,1
13,Парк культуры,13,1
14,Фрунзенская,14,1
15,Спортивная,15,1
16,Воробьёвы горы,16,1
17,Университет,17,1
18,Проспект Вернадского,18,1
19,Юго-Западная,19,1
20,Речной вокзал,20,2
21,Водный стадион,21,2
22,Войковская,22,2
23,Сокол,23,2
24,Аэропорт,24,2
25,Динамо,25,2
26,Белорусская,26,2
27,Маяковская,27,2
28,Тверская,28,2
29,Театральная,29,2
30,Новокузнецкая,30,2
31,Павелецкая,31,2
32,Автозаводская,32,2
33,Коломенская,33,2
34,Каширская,34,2
35,Кантемировская,35,2
36,Царицыно,36,2
37,Орехово,37,2
38,Домодедовская,38,2
39,Красногвардейская,39,2
40,Щёлковская,40,3
41,Первомайская,41,3
42,Измайловская,42,3
43,Партизанская,43,3
44,Семёновская,44,3
45,Электрозаводская,45,3
46,Бауманская,46,3
47,Курская,47,3
48,Площадь Революции,48,3
49,Арбатская,49,3
50,Смоленская,50,3
51,Киевская,51,3
52,Парк Победы,52,3
53,Славянский бульвар,53,3
54,Кунцевская,54,3
55,Молодёжная,55,3
56,Крылатское,56,3
57,Строгино,57,3
58,Кунцевская,54,4
59,Пионерская,59,4
60,Филёвский парк,60,4
61,Багратионовская,61,4
62,Фили,62,4
63,Кутузовская,63,4
64,Студенческая,64,4
65,Киевская,51,4
66,Смоленская,66,4
67,Арбатская,67,4
68,Александровский сад,68,4
69,Выставочная,69,4
70,Международная,70,4
71,Парк культуры,13,5
72,Октябрьская,72,5
73,Добрынинская,73,5
74,Павелецкая,31,5
75,Таганская,75,5
76,Курская,47,5
77,Комсомольская,6,5
78,Проспект Мира,78,5
79,Новослободская,79,5
80,Белорусская,26,5
81,Краснопресненская,81,5
82,Киевская,51,5
83,Медведково,83,6
84,Бабушкинская,84,6
85,Свиблово,85,6
86,Ботанический сад,86,6
87,ВДНХ,87,6
88,Алексеевская,88,6
89,Рижская,89,6
90,Проспект Мира,78,6
91,Сухаревская,91,6
92,Тургеневская,92,6
93,Китай-город,93,6
94,Третьяковская,94,6
95,Октябрьская,72,6
96,Шаболовская,96,6
97,Ленинский проспект,97,6
98,Академическая,98,6
99,Профсоюзная,99,6
100,Новые Черёмушки,100,6
101,Калужская,101,6
102,Беляево,102,6
103,Коньково,103,6
104,Тёплый Стан,104,6
105,Ясенево,105,6
106,Новоясеневская,106,6
107,Планерная,107,7
108,Сходненская,108,7
109,Тушинская,109,7
110,Щукинская,110,7
111,Октябрьское Поле,111,7
112,Полежаевская,112,7
113,Беговая,113,7
114,Улица 1905 года,114,7
115,Баррикадная,115,7
116,Пушкинская,116,7
117,Кузнецкий Мост,117,7
118,Китай-город,93,7
119,Таганская,75,7
120,Пролетарская,120,7
121,Волгоградский проспект,121,7
122,Текстильщики,122,7
123,Кузьминки,123,7
124,Рязанский проспект,124,7
125,Выхино,125,7
126,Новогиреево,126,8
127,Перово,127,8
128,Шоссе Энтузиастов,128,8
129,Авиамоторная,129,8
130,Площадь Ильича,130,8
131,Марксистская,131,8
132,Третьяковская,94,8
133,Алтуфьево,133,9
134,Бибирево,134,9
135,Отрадное,135,9
136,Владыкино,136,9
137,Петровско-Разумовская,234,9
138,Тимирязевская,138,9
139,Дмитровская,139,9
