,stantionId_1,stantionId_2,stantionId_3,stantionId_4
0,229,1,,
1,117,9,,
2,71,13,,
3,214,15,,
4,80,26,,
5,74,31,,
6,227,43,,
7,54,58,,
8,238,69,,
9,6,77,,
10,90,78,,
11,118,93,,
12,72,95,,
13,215,97,,
14,81,115,,
15,162,120,,
16,161,130,,
17,79,141,,
18,73,146,,
19,217,148,,
20,172,151,,
21,142,158,,
22,34,170,,
23,157,173,,
24,39,185,,
25,106,191,,
26,52,194,,
27,86,201,,
28,136,202,,
29,247,203,,
30,22,206,,
31,111,208,,
32,70,212,,
33,63,213,,
34,32,219,,
35,163,220,,
36,128,225,,
37,2,228,,
38,137,234,,
39,244,241,,
40,189,266,,
41,245,242,25,
42,94,132,30,
43,10,29,48,
44,65,82,51,
45,131,119,75,
46,259,258,140,
47,28,116,143,
48,92,8,159,
49,47,76,160,
50,211,193,239,
51,210,112,243,240
52,68,144,49,11
